id,territory,warehouse_latitude,warehouse_longitude
1,Athi River,-1.4275556,36.9704444
2,Eastlands,-1.3241389,36.867
3,Eldoret,0.5201846,35.2563265
4,Embu,-0.54203,37.4542503
5,Juja,-1.1081111,37.0138611
6,Karatina,-0.4731389,37.1262222
7,Kawangware,-1.28875,36.7517778
8,Kiambu,-1.2284444,36.6881944
9,Kisii,-0.6713333,34.7678889
10,Kisumu1,-0.0879444,34.7596667
11,Majengo Mombasa,-4.0519167,39.6583611
12,Meru,-1.2770781,36.8146693
13,Mtwapa Mombasa,-3.9406389,39.7465278
14,Nakuru,-0.2829722,36.1188889
15,Ongata Rongai,-1.3989167,36.7250278
16,Ruai,-1.2285389,36.9890257
17,Ruiru,-1.2286944,36.9891111
18,Thika Rd,-1.2420833,36.8763611
19,Voi,-3.39025,38.57225
